status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,40000.0,3.0,1.0,0.04,"K-9 Calle # 2, Carolina, PR, 00982",K-9 Calle # 2,Carolina,Puerto Rico,982.0,600.0,
for_sale,86000.0,3.0,1.0,,"205 Torres De Carolina Unit 205, Carolina, PR, 00987",205 Torres De Carolina Unit 205,Carolina,Puerto Rico,987.0,1032.0,
for_sale,187000.0,7.0,5.0,0.51,"OG25 Calle 518, Carolina, PR, 00982",OG25 Calle 518,Carolina,Puerto Rico,982.0,1777.0,
for_sale,103000.0,7.0,4.0,0.69,"B5 Quebrada Arenas, Toa Alta, PR, 00972",B5 Quebrada Arenas,Toa Alta,Puerto Rico,972.0,2106.0,
for_sale,200000.0,4.0,2.0,0.07,"1325 Calle Danubio, San Juan, PR, 00920",1325 Calle Danubio,San Juan,Puerto Rico,920.0,1200.0,
for_sale,220000.0,3.0,2.0,0.07,"579 Arrigoitia, San Juan, PR, 00698",579 Arrigoitia,San Juan,Puerto Rico,698.0,1100.0,
for_sale,143000.0,6.0,4.0,0.1,"17 Calle Santa Teresa, Mayaguez, PR, 00680",17 Calle Santa Teresa,Mayaguez,Puerto Rico,680.0,2130.0,
for_sale,215000.0,2.0,1.0,0.15,"1663 Ave Ponce De Leon Apt 606, San Juan, PR, 00909",1663 Ave Ponce De Leon Apt 606,San Juan,Puerto Rico,909.0,598.0,
for_sale,43000.0,2.0,1.0,0.06,"705 Calle Cortijo, San Juan, PR, 00915",705 Calle Cortijo,San Juan,Puerto Rico,915.0,616.0,
for_sale,200000.0,3.0,2.0,,"Ave San Patricio Unit 1401, Guaynabo, PR, 00969",Ave San Patricio Unit 1401,Guaynabo,Puerto Rico,969.0,1228.0,
for_sale,250000.0,4.0,3.0,0.1,"8 Calle Un, Guaynabo, PR, 00966",8 Calle Un,Guaynabo,Puerto Rico,966.0,2700.0,
for_sale,104200.0,4.0,2.0,0.09,"4F Villa Contesa, Bayamon, PR, 00956",4F Villa Contesa,Bayamon,Puerto Rico,956.0,1254.0,
for_sale,120600.0,3.0,2.0,,"113 Boulevard Del Rio 1 Unit A, Guaynabo, PR, 00969",113 Boulevard Del Rio 1 Unit A,Guaynabo,Puerto Rico,969.0,1102.0,
for_sale,119000.0,3.0,2.0,,"3 Calle Hortensia Apt 2J, San Juan, PR, 00926",3 Calle Hortensia Apt 2J,San Juan,Puerto Rico,926.0,1204.0,
for_sale,72900.0,3.0,2.0,,"B26 Del Lago Ave Unit B26, Toa Baja, PR, 00949",B26 Del Lago Ave Unit B26,Toa Baja,Puerto Rico,949.0,1300.0,
for_sale,110000.0,3.0,1.0,0.04,"E8 Ciudad Senorial, San Juan, PR, 00926",E8 Ciudad Senorial,San Juan,Puerto Rico,926.0,900.0,
for_sale,69000.0,3.0,1.0,,"2 Calle Almonte Unit 17, San Juan, PR, 00926",2 Calle Almonte Unit 17,San Juan,Puerto Rico,926.0,809.0,
for_sale,99900.0,3.0,1.0,0.08,"QQ-6 Calle # 583, Carolina, PR, 00985",QQ-6 Calle # 583,Carolina,Puerto Rico,985.0,857.0,
for_sale,175000.0,4.0,2.0,0.08,"15 St T-25 Urb Flamboyan Gardens Bayamon Pr # 959, Bayamon, PR, 00959",15 St T-25 Urb Flamboyan Gardens Bayamon Pr # 959,Bayamon,Puerto Rico,959.0,1480.0,
for_sale,155000.0,3.0,2.0,0.08,"4 131 # 91, Carolina, PR, 00985",4 131 # 91,Carolina,Puerto Rico,985.0,1200.0,
for_sale,120000.0,3.0,2.0,,"2500 Patio Sevillano 1 Unit 2500, Trujillo Alto, PR, 00976",2500 Patio Sevillano 1 Unit 2500,Trujillo Alto,Puerto Rico,976.0,1200.0,
for_sale,99000.0,3.0,2.0,,"Ii Parque De La Ii Vis Unit 116, San Juan, PR, 00926",Ii Parque De La Ii Vis Unit 116,San Juan,Puerto Rico,926.0,997.0,
for_sale,295000.0,2.0,2.0,,"1 Calle Inga Apt 2E, San Juan, PR, 00913",1 Calle Inga Apt 2E,San Juan,Puerto Rico,913.0,895.0,
for_sale,128300.0,3.0,2.0,,"3 San Juan Chalets Unit C3, San Juan, PR, 00926",3 San Juan Chalets Unit C3,San Juan,Puerto Rico,926.0,1265.0,
for_sale,350000.0,3.0,1.0,0.1,"112 Calle Bucare, San Juan, PR, 00913",112 Calle Bucare,San Juan,Puerto Rico,913.0,1065.0,
for_sale,385000.0,3.0,2.0,0.18,"1775 Calle Santa Brigida, San Juan, PR, 00926",1775 Calle Santa Brigida,San Juan,Puerto Rico,926.0,1200.0,
for_sale,120000.0,3.0,1.0,,"1482 Ave Fd Roosevelt Apt 709, San Juan, PR, 00920",1482 Ave Fd Roosevelt Apt 709,San Juan,Puerto Rico,920.0,806.0,
for_sale,1600000.0,3.0,2.0,0.04,"O'Donell, San Juan, PR, 00901",O'Donell,San Juan,Puerto Rico,901.0,3176.0,
